Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita,PC1,PC2,Cluster,Cluster_Agg
1996,198,0,4,24400,380647,15.6,14792,0.61,94273.0,3.9,496659,15.8,706.0,18544,0.8,189556.0,7.8,2429613.0,99.57,2211820,90.65,329207.0,1485668.0,2054893.0,84.2,3.5866366916457313,-0.8632187377140361,1,1
1996,199,1,59,24004,207165,8.6,11020,0.46,44547.0,1.9,193233,6.6,234.0,8632,0.4,130930.0,5.5,769374.0,32.05,759941,31.66,95439.0,482064.0,655420.0,27.3,0.3324237969713278,-0.5842714549742759,0,0
1996,200,6,143,6385,12870,2.0,3746,0.59,3718.0,0.6,17073,2.6,8.0,747,0.1,12682.0,2.0,56648.0,8.87,52100,8.16,13729.0,34304.0,53661.0,8.4,-2.0646485477230603,-0.09641793226360362,0,0
1996,201,0,6,16302,193500,11.9,9900,0.61,20656.0,1.3,204500,10.9,281.0,8575,0.5,122356.0,7.5,1136153.0,69.69,807213,49.52,121341.0,524760.0,840246.0,51.5,0.34584160109769047,-0.49748289946557883,0,0
1996,202,2,144,16179,46957,2.9,8082,0.5,2998.0,0.2,49898,2.6,281.0,1083,0.1,41714.0,2.6,265968.0,16.44,125000,7.73,20165.0,112518.0,159886.0,9.9,-1.47307396642368,0.0042448640809768096,0,0
1996,203,7,167,13095,1980,0.1,817,0.04,5771.5,0.5,2800,0.1,267.5,5135,0.4,10050.0,0.5,22115.0,1.01,2000,0.09,3120.0,12378.0,21850.0,1.0,-1.8713794751133512,0.40469523877577807,0,0
1996,204,7,167,23603,110000,4.7,12470,0.53,1960.0,0.1,91430,3.2,59.0,731,0.0,57298.0,2.4,414435.0,17.56,367373,15.56,93994.0,239813.0,376674.0,16.0,-0.8811139686410251,-0.6378134276653838,0,0
1996,206,7,167,13095,8230,0.4,596,0.03,102.0,0.0,8230,0.4,267.5,5135,0.4,8512.0,0.4,27202.0,1.25,22600,1.03,3808.0,13146.0,21971.0,1.0,-1.8460585589757117,0.3909340516289416,0,0
1996,207,1,57,27960,238114,8.5,16767,0.6,33510.0,1.2,303288,10.0,462.0,12445,0.4,107890.0,3.9,1003019.0,35.87,947960,33.9,85554.0,556446.0,742803.0,26.6,0.8232327891610719,-0.32611543844317514,0,0
1996,208,1,66,11912,55000,4.6,4602,0.39,5771.5,0.5,44238,3.4,115.0,1841,0.2,50615.0,4.2,283171.0,23.77,247000,20.74,18597.0,138775.0,191913.0,16.1,-1.4956156549013535,-0.15805038953311418,0,0
1996,209,4,121,14293,43212,3.0,4375,0.31,5771.5,0.5,66740,4.2,164.0,2045,0.1,46132.0,3.2,251650.0,17.61,258331,18.07,43914.0,132958.0,207891.0,14.5,-1.3842888090302374,-0.16417711943510468,0,0
1996,210,4,15,8091,55000,4.6,10149,1.25,7793.0,1.0,170773,14.0,168.0,3338,0.4,61653.0,7.6,459095.0,56.74,417706,51.63,80614.0,290099.0,410872.0,50.8,-0.9350006260737226,-0.35110750655257367,0,0
1996,211,2,46,8611,55000,4.6,5905,0.69,12768.0,1.5,113053,10.8,286.0,6838,0.8,59997.0,7.0,272496.0,31.65,262184,30.45,48199.0,159621.0,245008.0,28.5,-1.102820150981088,0.07849512887367895,0,0
1996,212,7,100,6303,3200,0.5,2146,0.34,6114.0,1.0,14680,2.3,40.0,1100,0.2,16570.0,2.6,12409.0,1.97,9042,1.43,4934.0,5960.0,12392.0,2.0,-2.1082264938099415,-0.023295140778161662,0,0
1996,216,7,100,13095,2600,0.4,200,0.03,500.0,0.1,6981,1.1,267.5,5135,0.4,11407.0,1.8,11050.0,1.75,9042,1.43,2500.0,3700.0,10684.0,1.7,-1.863934901785457,0.3942203432880582,0,0
1997,0,6,109,2782,15000,5.4,1676,0.6,414.0,0.1,17369,6.2,68.0,841,0.3,15534.0,5.6,61580.0,22.14,56570,20.33,10203.0,33442.0,48173.0,17.3,-2.0715306821561628,0.0005212338705900162,0,0
1997,3,7,135,4041,12575,3.1,1384,0.34,448.0,0.1,32794,8.1,22.0,1253,0.3,24096.0,6.0,113989.0,28.21,106710,26.41,20427.0,63816.0,94533.0,23.4,-1.9563059868963202,-0.10941341111536143,0,0
1997,4,1,18,14265,166663,11.7,8911,0.62,18386.0,1.3,224958,15.8,258.0,9199,0.6,74915.0,5.3,720122.0,50.48,644797,45.2,108502.0,372057.0,592507.0,41.5,-0.07880009150975645,-0.3532770687831644,0,0
1997,5,4,121,5368,8000,1.5,1517,0.28,550.0,0.1,9532,1.8,44.0,460,0.1,6800.0,1.3,54202.0,10.1,34886,6.5,17272.0,26969.0,44941.0,8.4,-2.1142513948908026,-0.03050402361743879,0,0
1997,9,1,48,16795,109388,6.5,6975,0.42,6490.0,0.4,227840,13.6,390.0,9304,0.6,92443.0,5.5,651974.0,38.82,663294,39.49,101652.0,340727.0,505201.0,30.1,-0.09243964402031996,-0.18139408858855643,0,0
1997,10,4,53,4878,19700,4.0,3217,0.66,650.0,0.1,50448,10.3,46.0,405,0.1,33706.0,6.9,70444.0,14.44,57302,11.75,11417.0,32297.0,53370.0,10.9,-1.9302184641711522,-0.16577356336320967,0,0
1997,11,0,71,18101,155261,8.6,12369,0.68,16731.0,0.9,145882,8.1,172.0,4864,0.3,85714.0,4.7,446832.0,24.69,421755,23.3,102461.0,252429.0,422982.0,23.4,-0.4514728189201884,-0.5299704224681833,0,0
1997,12,2,65,3397,17478,5.1,2379,0.7,2286.0,0.7,32686,9.6,45.0,790,0.2,23210.0,6.8,69847.0,20.56,60000,17.66,7239.0,38830.0,50834.0,15.0,-2.0197100976645506,-0.07582930838276927,0,0
1997,14,1,61,18477,55000,4.6,9037,0.49,18844.0,1.0,217113,11.8,586.0,11788,0.6,119763.0,6.5,802922.0,43.46,777534,42.08,104003.0,599947.0,773875.0,41.9,0.24359051320014793,0.1568858987653447,0,0
1997,15,6,90,4665,20800,4.5,3829,0.82,702.0,0.2,41972,9.0,97.0,1411,0.3,35230.0,7.6,144856.0,31.05,140948,30.21,37535.0,96563.0,139748.0,30.0,-1.7615472098517726,-0.09913388202523259,0,0
1997,16,4,50,28123,86500,3.1,24111,0.86,56270.0,2.0,172722,6.1,400.0,5928,0.2,84499.0,3.0,661421.0,23.52,467509,16.62,66262.0,404943.0,547452.0,19.5,-0.29319455059926747,-0.173802452022002,0,0
1997,17,4,50,13095,17000,0.6,1563,0.06,5000.0,0.2,45294,1.6,35.0,6660,0.2,23575.0,0.8,125013.0,4.45,106711,3.79,20000.0,72630.0,115055.0,4.1,-1.6770227929589878,0.03281014816220178,0,0
1997,18,0,168,136954,371570,2.7,37284,0.27,199258.0,1.5,411044,3.0,569.0,9921,0.1,511123.0,3.7,3340860.0,24.39,3226824,23.56,431546.0,2203050.0,3022198.0,22.1,6.7991524761497315,-2.96708735659883,1,1
1997,19,2,21,1729,15416,8.9,1025,0.59,5771.5,0.5,21333,12.3,4993.0,300,0.2,28360.0,16.4,82614.0,47.78,47875,27.69,13971.0,50853.0,70746.0,40.9,0.2928442952137384,5.905452540010389,0,0
1997,20,1,134,59509,229075,3.8,20259,0.34,20171.0,0.3,337870,5.7,672.0,17043,0.3,141437.0,2.4,1213865.0,20.4,1148575,19.3,174121.0,805677.0,1056811.0,17.8,2.0145981234352464,-0.3905377467299033,0,0
1997,21,0,34,14820,114349,7.7,10736,0.72,13532.0,0.9,159765,10.8,201.0,7018,0.5,60042.0,4.1,380967.0,25.71,349917,23.61,62748.0,225931.0,338098.0,22.8,-0.7390431755320377,-0.22939161698166669,0,0
1997,22,7,151,6802,14560,2.1,2838,0.42,1872.0,0.3,28494,4.2,30.0,495,0.1,19496.0,2.9,76085.0,11.19,63685,9.36,23313.0,31803.0,69941.0,10.3,-1.9794639183283809,-0.1373445147287806,0,0
1997,23,1,73,7657,29000,3.8,3642,0.48,893.0,0.1,46130,6.0,65.0,1516,0.2,29647.0,3.9,122454.0,15.99,115281,15.06,15051.0,78932.0,105383.0,13.8,-1.8052017422924362,-0.11700935731873376,0,0
1997,24,2,39,1325,14612,11.0,666,0.5,5771.5,0.5,16002,12.1,140.0,2054,1.6,25853.0,19.5,67894.0,51.24,25000,18.87,5432.0,29451.0,41357.0,31.2,-2.015651077353238,0.1303378212999396,0,0
1997,25,7,154,4677,5229,1.1,1281,0.27,5771.5,0.5,15034,3.2,267.5,5135,0.4,13024.0,2.8,34694.0,7.42,28680,6.13,6200.0,16650.0,31238.0,6.7,-1.919403892526318,0.4254995351912981,0,0
1997,26,1,67,8496,23660,2.8,7700,0.91,5771.5,0.5,35800,4.2,267.5,5135,0.4,46788.0,5.5,224667.0,26.44,215740,25.39,29739.0,121928.0,177711.0,20.9,-1.4860830283486541,0.21860552499124292,0,0
1997,27,7,136,2127,5616,2.6,410,0.19,5771.5,0.5,6897,3.2,1.0,40,0.0,14377.0,6.8,26981.0,12.69,23550,11.07,7129.0,12804.0,22087.0,10.4,-2.2037754685863056,-0.07144014838562311,0,0
1997,28,4,54,26660,99500,3.7,20645,0.77,24950.0,0.9,271204,10.2,90.0,3409,0.1,106484.0,4.0,861204.0,32.3,796961,29.89,121013.0,659008.0,861204.0,32.3,0.15242801103517967,-0.9618783204411725,0,0
1997,29,3,63,3621,20000,5.5,2800,0.77,1103.0,0.3,32932,9.1,48.0,898,0.2,14387.0,4.0,47198.0,13.03,37930,10.48,13215.0,28583.0,47198.0,13.0,-2.0370515293221847,-0.060926169960063004,0,0
1997,30,3,92,13100,55000,4.6,6700,0.51,2000.0,0.2,224169,17.1,219.0,5040,0.4,40466.0,3.1,350072.0,26.72,237661,18.14,74859.0,188212.0,307638.0,23.5,-0.9314671877738825,-0.2823929778324899,0,0
1997,31,5,131,12101,34892,2.9,8580,0.71,3944.0,0.3,74151,6.1,182.0,5275,0.4,29991.0,2.5,184626.0,15.26,160000,13.22,34441.0,112015.0,172318.0,14.2,-1.4619979418097155,0.05447064115793252,0,0
1997,32,6,81,4802,4040,0.8,2840,0.59,4012.0,0.8,34538,7.2,25.0,1848,0.4,27027.0,5.6,155161.0,32.31,134422,27.99,25572.0,79349.0,137032.0,28.5,-1.9021419266078026,-0.09617095614443631,0,0
1997,33,2,12,1497,8700,5.8,620,0.41,5771.5,0.5,13980,9.3,3.0,65,0.0,15240.0,10.2,31990.0,21.37,2800,1.87,5274.0,13105.0,40839.0,27.3,-2.193418285341775,-0.07676730802525075,0,0
