Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita,PC1,PC2,Cluster,Cluster_Agg
2001,163,4,119,15454,54052,3.5,9270,0.6,3891.0,0.3,74326,4.8,101.0,2030,0.1,50516.0,3.3,395580.0,25.6,294754,19.07,31897.0,216087.0,282051.0,18.3,-1.310393913596876,-0.2613057687721739,0,0
2001,164,2,21,2968,10920,3.7,2355,0.79,520.0,0.2,25946,8.7,68.0,420,0.1,23752.0,8.0,134087.0,45.18,10000,3.37,26279.0,88052.0,141743.0,47.8,-1.9750780278280369,-0.07219164095871189,0,0
2001,165,0,60,38101,170230,4.5,15884,0.42,26025.0,0.7,235337,6.2,278.0,4111,0.1,155422.0,4.1,800607.0,21.01,823600,21.62,136757.0,517513.0,746124.0,19.6,0.6445891763422814,-0.9653718742863733,0,0
2001,166,0,16,3827,39400,10.3,1923,0.5,1104.0,0.3,50584,13.2,211.0,3122,0.8,23025.0,6.0,137787.0,36.0,84625,22.11,23176.0,62874.0,117051.0,30.6,-1.7341344192693442,0.1327688548242045,0,0
2001,167,1,34,23234,277211,11.9,12941,0.56,44644.0,1.9,435877,18.8,718.0,23429,1.0,142170.0,6.1,1047834.0,45.1,1011546,43.54,153435.0,703746.0,956566.0,41.2,1.854432855773242,-0.019596243224516727,0,0
2001,168,6,114,10417,66000,6.3,3841,0.37,6500.0,0.6,84225,8.1,127.0,2076,0.2,46792.0,4.5,334392.0,32.1,289729,27.81,44167.0,170655.0,254732.0,24.5,-1.3287162627310625,-0.23702333824096986,0,0
2001,169,1,66,24412,166704,6.8,10762,0.44,13369.0,0.5,214600,8.8,279.0,5785,0.2,110351.0,4.5,983049.0,40.27,972630,39.84,105815.0,493983.0,736682.0,30.2,0.26304296908079067,-0.5983747299189193,0,0
2001,170,1,84,13095,6000,4.6,594,0.46,72.0,0.5,2738,7.0,33.0,2064,0.4,15650.0,0.6,91408.0,37.49,7500,32.06,5054.0,37888.0,68978.0,2.8,-1.9941232117624914,-0.019905301146865544,0,0
2001,171,4,35,18567,185432,10.0,8887,0.48,22163.0,1.2,219615,11.8,401.0,8273,0.4,84881.0,4.6,512515.0,27.6,476258,25.65,112225.0,305146.0,469989.0,25.3,-0.0022235010324104113,-0.2932790382567178,0,0
2001,172,1,92,39728,289000,7.3,19390,0.49,68436.0,1.7,220228,5.5,322.0,4492,0.1,141992.0,3.6,1137488.0,28.63,1047735,26.37,102094.0,620405.0,1081121.0,27.2,1.0060257054684147,-0.9136943804168912,0,0
2001,173,5,149,2971,4387,1.5,956,0.32,56.0,0.0,5231,1.8,3.0,11,0.0,16020.0,5.4,32202.0,10.84,30535,10.28,1513.0,24981.0,31834.0,10.7,-2.195845315783438,-0.06560344314797113,0,0
2001,174,6,147,11307,30000,2.7,7200,0.64,1020.0,0.1,49610,4.4,159.0,3364,0.3,32129.0,2.8,277410.0,24.53,182495,16.14,33200.0,131480.0,205164.0,18.1,-1.5504185013795204,0.0011917462446749017,0,0
2001,175,0,27,117083,692087,5.9,63093,0.54,211864.0,1.8,890844,7.6,1168.0,43328,0.4,454316.0,3.9,6897502.0,58.91,6227737,53.19,883806.0,3763908.0,5705111.0,48.7,12.065225478368768,-2.56387590336074,1,1
2001,176,7,153,3099,6924,2.2,1973,0.64,2212.0,0.7,27605,8.9,34.0,340,0.1,18125.0,5.8,53792.0,17.36,51510,16.62,8504.0,27081.0,48767.0,15.7,-2.0956257587763605,-0.07341790442943608,0,0
2001,177,5,47,17906,26900,1.5,5755,0.32,965.0,0.1,58803,3.3,411.0,5660,0.3,37723.0,2.1,317436.0,17.73,72549,4.05,45063.0,114964.0,257591.0,14.4,-1.266234132232656,0.3073623299583405,0,0
2001,178,0,96,49976,177195,3.5,30066,0.6,45068.0,0.9,323288,6.5,2419.0,46786,0.9,162827.0,3.3,2248308.0,44.99,2040890,40.84,288563.0,1245999.0,1799992.0,36.0,4.200782691544905,2.794468517836489,1,0
2001,179,1,62,13552,127500,9.4,5566,0.41,9360.0,0.7,140818,10.4,180.0,3236,0.2,88284.0,6.5,331746.0,24.48,309942,22.87,55311.0,231042.0,331853.0,24.5,-0.7738713069085253,-0.4362282622003497,0,0
2001,180,2,121,7503,65000,8.7,3483,0.46,5000.0,0.7,94941,12.7,500.0,13000,1.7,52535.0,7.0,328942.0,43.84,284320,37.89,50235.0,184989.0,294759.0,39.3,-0.8747118516931076,0.6215902874587048,0,0
2001,181,7,154,8878,48272,5.4,7125,0.8,7384.0,0.8,72167,8.1,215.0,4288,0.5,43523.0,4.9,261642.0,29.47,251589,28.34,45356.0,157009.0,244373.0,27.5,-1.3449409561287644,0.013286861765913056,0,0
2001,182,6,97,13146,78418,6.0,8546,0.65,25480.0,1.9,131132,10.0,175.0,2826,0.2,56052.0,4.3,284111.0,21.61,280870,21.37,44127.0,212332.0,320663.0,24.4,-1.0847522051937066,-0.2807792217204193,0,0
2001,183,2,140,35202,40404,1.1,8717,0.25,5771.5,0.5,126501,3.6,86.0,1522,0.0,48511.0,1.4,479344.0,13.62,10000,0.28,62584.0,220481.0,363872.0,10.3,-1.0251902578446581,-0.5481391385622022,0,0
2001,184,0,37,34243,235920,6.9,25234,0.74,23215.0,0.7,337658,9.9,1201.0,6117,0.2,159768.0,4.7,1147519.0,33.51,1076251,31.43,185888.0,731427.0,995472.0,29.1,1.7426742999923766,-0.08037633924094648,0,0
2001,185,6,108,693,3660,5.3,234,0.34,5771.5,0.5,5554,8.0,267.5,5135,0.4,12809.0,18.5,27886.0,40.24,25800,37.23,7808.0,11548.0,24183.0,34.9,-1.9898115674496084,0.46772790922503843,0,0
2001,186,6,138,28063,88684,3.2,9225,0.33,5575.0,0.2,132200,4.7,155.0,4567,0.2,52651.0,1.9,781833.0,27.86,130000,4.63,76295.0,321616.0,607301.0,21.6,-0.7087681446977477,-0.3887484978198787,0,0
2001,187,5,142,2528,11164,4.4,877,0.35,355.0,0.5,12030,4.8,104.0,686,0.3,10020.0,4.0,32047.0,12.68,25110,9.93,6153.0,15000.0,27551.0,10.9,-2.12985245230513,0.07398764694659132,0,0
2001,188,4,86,43026,281200,6.5,31216,0.73,61500.0,1.4,498739,11.6,456.0,19081,0.4,205018.0,4.8,1851164.0,43.02,1734218,40.31,208405.0,1028518.0,1459229.0,33.9,2.8010980181295264,-1.0002786013472345,1,0
2001,189,2,23,1254,3803,3.0,666,0.53,124.0,0.1,4412,3.5,70.0,787,0.6,10639.0,8.5,25659.0,20.46,15000,11.96,5388.0,13537.0,25736.0,20.5,-2.192260158766432,0.06643269831107755,0,0
2001,190,2,17,3596,4633,1.3,2634,0.73,7800.0,2.2,55193,15.3,149.0,2589,0.7,34315.0,9.5,169914.0,47.25,84000,23.36,26655.0,140841.0,227974.0,63.4,-1.7436987288664902,0.04024215719655418,0,0
2001,191,4,162,107271,227937,2.1,55913,0.52,97245.0,0.9,246849,2.3,325.0,19732,0.2,257918.0,2.4,1944782.0,18.13,1608633,15.0,231426.0,1544837.0,1987127.0,18.5,3.5783824609821613,-1.25233517712345,1,0
2001,192,5,11,19152,55000,4.6,10844,0.57,13395.0,0.7,211159,11.0,369.0,7290,0.4,108070.0,5.6,1004737.0,52.46,973063,50.81,123090.0,685126.0,882681.0,46.1,0.15242473005891957,-0.2796733599776949,0,0
2001,193,2,112,21661,72862,3.4,13841,0.64,41528.0,1.9,146071,6.7,80.0,5600,0.3,69310.0,3.2,642830.0,29.68,625000,28.85,79920.0,307957.0,511715.0,23.6,-0.6381885887365191,-0.45933178312890766,0,0
2001,194,1,50,63589,499853,7.9,27177,0.43,158714.0,2.5,896477,14.1,1034.0,31361,0.5,301967.0,4.7,3094774.0,48.67,3039627,47.8,362259.0,1923997.0,2514972.0,39.6,6.461898206168775,-1.3699282415094542,1,1
2001,195,4,157,52360,55000,4.6,32162,0.61,10129.0,0.2,181387,3.5,230.0,3760,0.1,165059.0,3.2,1167742.0,22.3,1207623,23.06,163046.0,655294.0,895887.0,17.1,0.7275903027702405,-0.9846163334642425,0,0
2001,196,3,32,6292,39000,6.2,2205,0.35,4040.0,0.6,58733,9.3,178.0,2027,0.3,37801.0,6.0,262685.0,41.75,237408,37.73,45159.0,158229.0,232575.0,37.0,-1.5177947728825876,-0.05471321028552479,0,0
2001,197,0,5,10037,46644,4.6,10011,1.0,5771.5,0.5,88817,8.8,211.0,8550,0.9,51642.0,5.1,321441.0,32.03,310089,30.89,47370.0,177455.0,276118.0,27.5,-1.1446155423907078,0.11775385189024602,0,0
2001,198,0,4,25749,543746,21.1,15131,0.59,92728.0,3.6,709314,27.5,758.0,24412,0.9,209302.0,8.1,3353077.0,130.22,2777495,107.87,384521.0,1818610.0,2653803.0,103.1,5.126897889843081,-1.2527372257129061,1,1
2001,199,1,71,26271,327412,12.5,10352,0.39,17891.0,0.7,222779,8.5,388.0,13529,0.5,112478.0,4.3,1009987.0,38.44,996052,37.91,135101.0,608583.0,870541.0,33.1,1.0666764984620842,-0.42838742384086753,0,0
2001,200,6,131,5959,17443,2.9,3000,0.5,5050.0,0.8,21608,3.6,11.0,582,0.1,18020.0,3.0,75354.0,12.65,67700,11.36,19011.0,40824.0,72384.0,12.1,-2.01101002243013,-0.1316209664437733,0,0
2001,201,0,6,17633,222385,12.6,17907,1.02,29255.0,1.7,277082,15.7,428.0,9955,0.6,127013.0,7.2,1673805.0,94.92,1256317,71.25,214513.0,804425.0,1296151.0,73.5,1.226671845356803,-0.5953260834856053,0,0
2001,202,2,141,10664,6292,0.6,10181,0.95,549.0,0.1,77396,7.3,187.0,3357,0.3,52082.0,4.9,261986.0,24.57,190400,17.85,34411.0,108073.0,168090.0,15.8,-1.4961111917607444,-0.033742984325492435,0,0
2001,203,7,84,13095,5824,4.6,905,0.46,312.0,0.5,8898,7.0,58.0,1167,0.4,10510.0,0.5,93096.0,37.49,4000,32.06,6600.0,23466.0,55358.0,2.4,-2.019201970111326,-0.024826483127660864,0,0
2001,204,7,165,22857,150000,6.6,12779,0.56,2000.0,0.1,77517,3.4,159.0,2854,0.1,62292.0,2.7,477843.0,20.91,467434,20.45,87060.0,299614.0,453867.0,19.9,-0.64937233993687,-0.4503947063301537,0,0
2001,206,7,84,13095,17500,4.6,555,0.46,126.0,0.5,10967,7.0,105.0,174,0.4,8889.0,0.4,30059.0,37.49,25000,32.06,5550.0,21320.0,32901.0,1.4,-1.9980706998980562,-0.0188045688837762,0,0
2001,207,1,80,28237,277689,9.8,15271,0.54,25176.0,0.9,286407,10.1,690.0,14154,0.5,136992.0,4.9,1105075.0,39.14,1053130,37.3,125300.0,658507.0,890287.0,31.5,1.3435354175252294,-0.14415003478821348,0,0
2001,208,1,75,12043,4120,0.3,5336,0.44,5771.5,0.5,54593,4.5,185.0,2550,0.2,62259.0,5.2,292546.0,24.29,289000,24.0,43584.0,161268.0,253935.0,21.1,-1.4119959964768898,-0.07750448385175585,0,0
2001,209,4,117,15215,50000,3.3,5950,0.39,5200.0,0.3,96411,6.3,155.0,2000,0.1,55099.0,3.6,310573.0,20.41,310916,20.43,50471.0,164444.0,276980.0,18.2,-1.2218171030647718,-0.2725308623116002,0,0
2001,210,4,15,8983,55000,4.6,10600,1.18,6819.0,0.8,148285,16.5,356.0,7542,0.8,73956.0,8.2,612913.0,68.23,562397,62.61,55704.0,380763.0,482744.0,53.7,-0.6913523056315086,0.08611058743550658,0,0
2001,211,2,46,9198,55000,4.6,5500,0.6,5771.5,0.5,78806,7.0,267.5,5135,0.4,69930.0,7.6,472387.0,51.36,472387,51.36,48246.0,278026.0,461620.0,37.2,-1.0024289987338562,0.022149766582683326,0,0
2001,212,7,100,7221,3500,0.5,2800,0.39,5771.5,0.5,15710,2.2,60.0,1200,0.2,18210.0,2.5,13564.0,1.88,10631,1.47,5706.0,4600.0,10806.0,1.5,-2.0754252388908,-0.009159206084279956,0,0
2001,216,7,84,13095,2600,4.6,190,0.46,45.0,0.5,7385,7.0,31.0,170,0.4,8309.0,1.2,15181.0,37.49,10631,32.06,4117.0,5124.0,10962.0,1.5,-2.0951543167206066,-0.08208184856341191,0,0
2001,217,7,84,13095,3344,4.6,151,0.46,297.0,0.5,6038,7.0,267.5,5135,0.4,9652.0,1.3,12293.0,37.49,10631,32.06,3019.0,4952.0,8429.0,1.2,-1.8686234173949243,0.3983355424018502,0,0
2001,218,7,84,13095,2200,4.6,750,0.46,5771.5,0.5,6785,7.0,267.5,5135,0.4,15000.0,2.1,465976.0,37.49,375162,32.06,48246.0,278026.0,461620.0,37.2,-1.4244507226604781,0.3162048897706571,0,0
2002,0,6,111,3179,9800,3.1,1847,0.58,539.0,0.2,20623,6.5,52.0,794,0.2,17687.0,5.6,83453.0,26.25,78147,24.58,12721.0,51319.0,70481.0,22.2,-2.04969894555276,-0.03223013083459325,0,0
2002,1,4,156,18950,57600,3.0,13975,0.74,15600.0,0.8,91743,4.8,362.0,6680,0.4,81230.0,4.3,512139.0,27.03,470415,24.82,93444.0,317659.0,485403.0,25.6,-0.6082092307795799,-0.003431988539087215,0,0
2002,3,7,134,4332,13267,3.1,1913,0.44,525.0,0.1,17724,4.1,120.0,1025,0.2,20329.0,4.7,136435.0,31.49,130000,30.01,48246.0,76462.0,83410.0,19.3,-1.8766187915941344,-0.018826409861829103,0,0
2002,4,1,18,16323,165367,10.1,8697,0.53,33104.0,2.0,258611,15.8,394.0,7670,0.5,84082.0,5.2,1100565.0,67.42,987683,60.51,127987.0,573469.0,825673.0,50.6,0.3395560877099623,-0.3706091127975605,0,0
2002,5,4,118,5578,9429,1.7,1770,0.32,1168.0,0.2,13850,2.5,233.0,2461,0.4,8239.0,1.5,59909.0,10.74,67890,12.17,7110.0,45653.0,59309.0,10.6,-1.9638405211966996,0.28112523363859876,0,0
2002,9,1,56,18281,102232,5.6,7334,0.4,13809.0,0.8,224337,12.3,440.0,9283,0.5,92854.0,5.1,783323.0,42.85,753236,41.2,117019.0,419693.0,593531.0,32.5,0.041889420748503804,-0.14436154597044618,0,0
2002,10,4,52,5066,17400,3.4,3000,0.59,550.0,0.1,43813,8.6,50.0,638,0.1,36537.0,7.2,90515.0,17.87,71255,14.07,19494.0,44005.0,69681.0,13.8,-1.8953764411090888,-0.16080321618071697,0,0
2002,11,0,67,18052,169608,9.4,12809,0.71,20696.0,1.1,152356,8.4,231.0,5226,0.3,95595.0,5.3,654429.0,36.25,639433,35.42,117099.0,421354.0,649485.0,36.0,-0.11719360752691817,-0.5169386529858737,0,0
2002,12,2,63,3476,20324,5.8,2917,0.84,2958.0,0.9,28777,8.3,133.0,1632,0.5,25479.0,7.3,90068.0,25.91,80000,23.01,8977.0,59023.0,70637.0,20.3,-1.9266267612007286,0.05786953972657026,0,0
2002,14,1,59,19134,55000,4.6,7654,0.4,12062.0,0.6,254546,13.3,556.0,12371,0.6,85089.0,4.4,1178672.0,61.6,1112626,58.15,118650.0,777192.0,1024397.0,53.5,0.4427965300791142,0.14421580097032846,0,0
2002,15,6,88,5140,55000,4.6,2257,0.44,2259.0,0.4,58459,11.4,62.0,780,0.2,41000.0,8.0,178441.0,34.72,183628,35.73,33175.0,121851.0,183628.0,35.7,-1.6352057879489845,-0.24181721161146855,0,0
2002,16,4,49,28444,69910,2.5,26279,0.92,63250.0,2.2,157347,5.5,267.5,5135,0.4,87791.0,3.1,953977.0,33.54,706467,24.84,72448.0,536030.0,726678.0,25.5,-0.24383442151220527,-0.3388282952765632,0,0
2002,17,4,49,13095,7500,0.3,5200,0.18,1000.0,0.0,20685,0.7,137.0,6750,0.2,20710.0,0.7,161147.0,5.67,160612,5.64,23000.0,104812.0,156412.0,5.5,-1.654741092573259,0.2141456953075122,0,0
2002,18,0,166,138216,416994,3.0,70888,0.51,199062.0,1.4,464843,3.4,831.0,15229,0.1,498677.0,3.6,4304267.0,31.14,4009104,29.01,704134.0,2717810.0,3868936.0,28.0,8.45844973315582,-3.027975152435622,1,1
2002,19,2,20,1849,17947,9.7,914,0.49,957.0,0.5,24229,13.1,151.0,6715,3.6,30059.0,16.3,90428.0,48.91,55399,29.96,15724.0,60042.0,85619.0,46.3,-1.8051752662016811,0.27704382416375134,0,0
2002,20,1,135,60026,290000,4.8,17338,0.29,35715.0,0.6,368743,6.1,885.0,28018,0.5,158974.0,2.6,1421325.0,23.68,1410529,23.5,205319.0,942448.0,1277603.0,21.3,2.883909323649744,0.07623248570520023,1,0
2002,21,0,33,15916,98714,6.2,6468,0.41,44500.0,2.8,131836,8.3,431.0,6178,0.4,63456.0,4.0,479135.0,30.1,464540,29.19,61000.0,358543.0,469822.0,29.5,-0.5911060545276761,0.07073124369590689,0,0
2002,22,7,150,7333,12000,1.6,2114,0.29,1500.0,0.2,23677,3.2,6.0,140,0.0,23264.0,3.2,90414.0,12.33,81915,11.17,7347.0,43121.0,62295.0,8.5,-2.0204068626125418,-0.15452444991057743,0,0
2002,23,1,69,8352,33982,4.1,3329,0.4,884.0,0.1,48838,5.8,162.0,3450,0.4,38039.0,4.6,180248.0,21.58,169505,20.3,18219.0,111721.0,162109.0,19.4,-1.6099653543145989,0.03553365222773969,0,0
2002,24,2,54,1090,17472,16.0,747,0.69,1203.0,1.1,16091,14.8,143.0,2949,2.7,27805.0,25.5,89939.0,82.51,30000,27.52,8033.0,45844.0,64521.0,59.2,-1.9628326590072855,0.1583280508442412,0,0
2002,25,7,151,4762,13560,2.8,2253,0.47,3600.0,0.8,22779,4.8,4.0,71,0.0,11600.0,2.4,51927.0,10.9,48725,10.23,6686.0,36000.0,49016.0,10.3,-2.1126737733856906,-0.11148652959838887,0,0
2002,26,1,57,9162,113828,12.4,4853,0.53,16428.0,1.8,117644,12.8,282.0,5324,0.6,50644.0,5.5,353627.0,38.6,337650,36.85,44391.0,254923.0,335932.0,36.7,-0.9477532622037717,-0.03171297711385805,0,0
2002,27,7,137,2368,6900,2.9,781,0.33,102.0,0.0,8132,3.4,10.0,120,0.1,13900.0,5.9,49644.0,20.96,48020,20.28,6150.0,23270.0,35170.0,14.9,-2.1794370806997607,-0.05944011304196326,0,0
2002,28,4,55,28848,101000,3.5,25322,0.88,22646.0,0.8,333964,11.6,258.0,7236,0.3,118370.0,4.1,1128852.0,39.13,1035840,35.91,133275.0,874668.0,1128852.0,39.1,0.7435792049243523,-0.7742318056721235,0,0
2002,29,3,58,3968,22500,5.7,2800,0.71,1023.0,0.3,34353,8.7,52.0,881,0.2,15410.0,3.9,77129.0,19.44,71505,18.02,16888.0,58155.0,77129.0,19.4,-1.9821841883498692,-0.07288519510415016,0,0
2002,30,3,90,13300,132000,9.9,7916,0.6,33000.0,2.5,338175,25.4,117.0,3888,0.3,62661.0,4.7,587702.0,44.19,432592,32.53,110093.0,301111.0,504765.0,38.0,-0.3279074426517643,-0.8439365955056611,0,0
2002,31,5,126,14733,43500,3.0,12500,0.85,575.0,0.0,81870,5.6,230.0,3440,0.2,52522.0,3.6,264625.0,17.96,233350,15.84,48246.0,183659.0,209135.0,14.2,-1.242496747843626,-0.08178150868239836,0,0
2002,32,6,82,5080,12500,2.5,2861,0.56,15500.0,3.1,48704,9.6,67.0,1228,0.2,38379.0,7.6,151923.0,29.91,172376,33.93,50267.0,95983.0,182839.0,36.0,-1.724034475593299,-0.1765828426134443,0,0
2002,33,2,10,1412,8000,5.7,704,0.5,5771.5,0.5,13768,9.8,62.0,1141,0.8,17686.0,12.5,74414.0,52.7,5650,4.0,6979.0,49484.0,73714.0,52.2,-2.1071807172292574,0.030417544232205593,0,0
2002,34,2,84,13095,55000,4.6,30,0.02,5771.5,0.5,780,0.6,267.5,5135,0.4,56952.0,4.7,465976.0,37.49,375162,32.06,48246.0,278026.0,461620.0,37.2,-1.1548539969494578,0.15838245473291046,0,0
2002,35,6,129,11676,50000,4.3,5429,0.46,2137.0,0.2,95429,8.2,203.0,3747,0.3,52044.0,4.5,238842.0,20.46,221930,19.01,29606.0,130962.0,178787.0,15.3,-1.325425560414635,-0.07753627606551282,0,0
2002,36,3,98,13080,68796,5.3,5497,0.42,5124.0,0.4,86816,6.6,175.0,4090,0.3,64636.0,4.9,404434.0,30.92,400140,30.59,59849.0,283617.0,412278.0,31.5,-0.9989399707040325,-0.1949416388573316,0,0
2002,37,0,83,74550,509224,6.8,22442,0.3,52382.0,0.7,475415,6.4,422.0,8860,0.1,117124.0,1.6,1960017.0,26.29,1765523,23.68,221058.0,1411015.0,1947847.0,26.1,3.4306459683319397,-1.6629353724394675,1,1
2002,38,0,2,20049,364719,18.2,18437,0.92,34539.0,1.7,626766,31.3,492.0,15078,0.8,167750.0,8.4,2441056.0,121.75,1701556,84.87,450301.0,1270170.0,2081117.0,103.8,3.4953697404362316,-1.5777861564981142,1,0
2002,39,3,79,4466,33042,7.4,3552,0.8,2710.0,0.6,33098,7.4,122.0,1431,0.3,25120.0,5.6,103772.0,23.24,94286,21.11,14160.0,60910.0,87540.0,19.6,-1.8680353424950686,0.00017240884818060548,0,0
2002,40,4,144,12599,75000,6.0,4914,0.39,4400.0,0.3,45205,3.6,206.0,5291,0.4,42908.0,3.4,367404.0,29.16,274000,21.75,40000.0,220860.0,346075.0,27.5,-1.2176749074906341,0.04452229592621101,0,0
2002,42,4,84,13095,7413,0.6,1302,0.1,279.0,0.0,11721,0.9,77.0,492,0.0,51107.0,4.1,814627.0,64.65,500,0.03,4859.0,83113.0,178058.0,14.4,-1.8174677778597812,-0.1300654822157222,0,0
2002,44,3,85,6703,92285,13.8,4615,0.69,10450.0,1.6,125664,18.7,319.0,8480,1.3,50944.0,7.6,357704.0,53.36,317927,47.43,39250.0,211525.0,311952.0,46.5,-0.9660121027096942,0.17294356527656862,0,0
2002,46,1,42,4880,45000,9.2,3500,0.72,950.0,0.2,29330,6.0,97.0,1133,0.2,28623.0,5.9,155638.0,31.89,100000,20.49,22147.0,73081.0,128511.0,26.3,-1.8118871761972943,-0.07391135985554988,0,0
2002,47,3,84,8417,16385,1.9,4215,0.5,345.0,0.0,21157,2.5,189.0,2750,0.3,16472.0,2.0,118745.0,14.11,58500,6.95,15986.0,54227.0,89320.0,10.6,-1.8555609597820748,0.1639753622569,0,0
2002,48,3,84,13095,31538,3.7,2568,0.31,6231.0,0.7,31538,3.7,163.0,1145,0.1,22835.0,2.7,162316.0,19.28,71625,8.5,14490.0,111270.0,152570.0,18.3,-1.7310990457448514,-0.008287721422639357,0,0
2002,49,3,110,11381,71254,6.3,8703,0.76,7262.0,0.6,87608,7.7,320.0,5961,0.5,48894.0,4.3,269769.0,23.7,258440,22.71,62300.0,169347.0,272618.0,24.0,-1.0749523050547418,0.09360156620191319,0,0
2002,51,1,139,49734,49112,1.0,13424,0.27,69400.0,1.4,223213,4.5,316.0,6895,0.1,170355.0,3.4,1002086.0,20.15,950347,19.11,142474.0,645693.0,871818.0,17.5,0.7539361402186048,-0.775916262131958,0,0
2002,52,4,148,27969,99500,3.6,17531,0.63,6660.0,0.2,131642,4.7,127.0,3000,0.1,67670.0,2.4,602989.0,21.56,507493,18.14,68400.0,328286.0,467481.0,16.7,-0.6245271335553892,-0.529737740960158,0,0
2002,53,5,77,17694,75000,4.2,20542,1.16,9655.0,0.5,149344,8.4,170.0,5496,0.3,109190.0,6.2,782108.0,44.2,693631,39.2,109514.0,458640.0,691189.0,39.1,-0.297562939336129,-0.4838033536476279,0,0
2002,55,1,105,9958,31280,3.1,3489,0.35,5771.5,0.5,61671,6.2,246.0,5858,0.6,34477.0,3.5,301070.0,30.23,128000,12.85,21508.0,178171.0,266006.0,26.7,-1.444997538065672,0.21013637588585163,0,0
2002,56,7,109,1532,4855,3.2,557,0.36,5771.5,0.5,7309,4.8,4.0,63,0.0,12341.0,8.1,36654.0,23.93,36073,23.55,4293.0,19784.0,26581.0,17.4,-2.2168874032410626,-0.05234581111713213,0,0
2002,57,0,9,7480,63422,8.5,5832,0.78,13852.0,1.9,116824,15.6,46.0,1892,0.3,64558.0,8.6,898551.0,120.13,365786,48.9,71602.0,210778.0,307508.0,41.1,-1.182690917815335,-0.46646246250337003,0,0
2002,58,6,113,13145,87404,6.6,8668,0.66,4489.0,0.3,123078,9.4,142.0,3266,0.2,52453.0,4.0,404220.0,30.75,373852,28.44,41176.0,221077.0,327643.0,24.9,-1.0713187315771286,-0.28715408921698476,0,0
2002,59,1,133,44987,231670,5.1,14399,0.32,19801.0,0.4,266309,5.9,376.0,11292,0.3,124602.0,2.8,1051901.0,23.38,1031212,22.92,134500.0,767443.0,999439.0,22.2,1.2389567759156879,-0.6457383604147724,0,0
2002,60,3,28,6539,45215,6.9,3480,0.53,4680.0,0.7,50224,7.7,90.0,2478,0.4,28460.0,4.4,302209.0,46.22,75000,11.47,32004.0,147212.0,247272.0,37.8,-1.6547839410263383,-0.0882114538328879,0,0
2002,62,3,28,13095,55000,4.6,5186,0.46,5771.5,0.5,8146,1.2,59.0,1850,0.3,8000.0,1.2,137082.0,20.96,43000,6.58,9000.0,27000.0,42400.0,6.5,-1.8836141135258564,-0.051383401587273864,0,0
2002,63,0,22,58049,555340,9.6,57200,0.99,80452.0,1.4,754272,13.0,648.0,15664,0.3,378753.0,6.5,3167504.0,54.57,2960384,51.0,535734.0,1825734.0,2572648.0,44.3,6.379368320386355,-2.7465536093693372,1,1
2002,66,0,84,13095,99355,1.7,3635,0.06,5469.0,0.1,56563,1.0,298.0,15230,0.3,111114.0,1.9,939178.0,16.17,280000,4.82,98598.0,458722.0,957432.0,16.7,-0.23056401128106777,0.239547083851148,0,0
2002,67,1,24,23969,189061,7.9,10563,0.44,40855.0,1.7,317527,13.2,858.0,18705,0.8,162239.0,6.8,1701592.0,70.99,1580800,65.95,153985.0,1148772.0,1526975.0,63.7,1.9777155871604561,0.21907797868044335,0,0
2002,71,1,38,32985,345911,10.5,15955,0.48,17333.0,0.5,462804,14.0,424.0,13300,0.4,134105.0,4.1,1411810.0,42.8,1306228,39.6,205000.0,716069.0,1057033.0,32.0,2.0070087511029415,-1.034583929936421,0,0
2002,72,1,84,13095,11700,0.4,212,0.01,75.0,0.0,14330,0.4,2.0,60,0.0,16969.0,0.5,22195.0,1.48,5000,0.15,9567.0,278026.0,14577.0,0.5,-1.9209752970568983,-0.17577609741916725,0,0
2002,73,1,84,13095,4800,0.1,5186,0.46,5771.5,0.5,5400,0.2,2.0,45,0.0,56952.0,4.7,465976.0,37.49,375162,32.06,48246.0,278026.0,461620.0,37.2,-1.5069532344374736,-0.3119331359709504,0,0
2002,74,2,30,2730,9580,3.5,2205,0.81,305.0,0.1,24454,9.0,116.0,1376,0.5,26225.0,9.6,112428.0,41.18,106535,39.02,30770.0,66062.0,105870.0,38.8,-1.9112102769022723,0.011885292920093899,0,0
2002,75,1,65,10721,77428,7.2,6456,0.6,15066.0,1.4,140303,13.1,313.0,5987,0.6,64782.0,6.0,349770.0,32.62,349771,32.62,53609.0,257010.0,399585.0,37.3,-0.8545904633582682,-0.024468870653662725,0,0
2002,76,0,1,61606,712648,11.6,52825,0.86,169122.0,2.7,1213608,19.7,1131.0,49659,0.8,439602.0,7.1,4525634.0,73.46,5663185,91.93,1221310.0,4218727.0,6148222.0,99.8,12.925044195519884,-3.080617181466809,1,1
